id,name,artist,album
10hVvxQICff80Nq32QFZb6,Rebeldía,El Bird,La Trayectoria
3E3hZghBfVoQQjJxwUxpwY,FREAK LIKE ME,Kronx,CUERVOS
6SqoSorSPn2q4kxi1aH5KY,1 Millon,Thecocolin,1 Millon
5XW9Y6KiBKVUqfk5vzdNa3,Who Else (Remix),Ryan Satyr,Who Else (Remix)
1mIbD6qRaAGxUi6eqafFgT,I'll Be There,Da Charmin Prince,I'll Be There
6ppVhhJFV7lUt9bEZEYMUX,Lil'Bitch,"JiGGY, The Finesse God",Lil'RockN9ne
7hDYixf8KY5EuH7HA0Odyh,Find Away,Snap5,Find Away
2Cxb87uw7mOsHsdeJvvBnf,Pull Up On Me,Odo Reef,Pull Up On Me
654LuqFAEC3s7uRKX7goJ9,Struggles,Lil Sain,Struggles
2FBmkNfgPPYE0r9lGeb08D,Il Viaggio,Real Cozz,Il Viaggio
4GJpDlOTKoAPYOs7qkDgiw,Kobe,"JiGGY, The Finesse God",Lil'RockN9ne
77X8pmEBkM97ruNDZc2XiJ,Veteran Mode,Fredmansam,Veteran Mode
0gUcQqNJ0oEJtDk6vt8nvs,Sick Of Being Nice,"JiGGY, The Finesse God",Lil'RockN9ne
3EUcSMLyVaTFRNqUbgkGQS,Lose It,Liik,Lose It
1eFMn70qScl8MIT10gjIqN,Good Luv,Tha Twinz Carbon Copi,Good Luv
64GRl9W7bP7z32U1ZmkQ2S,It' on Me,2BM MQ,They Envy Me
1a5eFTFjxote5jRX9AGnWV,1998,Kyng Kenobe,EGO LAND
6RmfkBa5xQalIAlkQoz2mc,Mine,Sirgio,Mine
4RM2olSZkrqANixfDBhAkf,M'a pas la toucher NON!,Jack Lag Clack,M'a pas la toucher NON!
6eeEK0quYVXDhl4hy0E5KX,Cerebral Cortex,NovaGawd,Cerebral Cortex
7uca6NzWW46KIRdADSqkWd,Friday,Jack Lag Clack,Friday
3u5e9iyklChiGxItAR7ah9,No One Better,Loon E Lou,Waves
6JT1SuVM7Oi358wvuiuq1C,Paid,Vonrich,Shit II Sugar EP
53LjAZMZWVFTbc1RGzTbVI,1000 Parties,TheFriend,1000 Parties
3i6vm6nMxymOFuW72N4nvc,Getaway,2 Kool,Getaway
1j47F16Drcr0VDuSZh59Az,INTRO,RicoGotti,INTRO
04ORRF79f4K4JC0VLgXB2u,VAKNA,Sgt. Nico,VAKNA
7qiIdjg7rv94F9Pw6Wr9LH,FIJI,RedRumKass,FIJI
5VH8FpfBk0q0nBbL4DwVYn,Ancora in piedi,John Laydon,Ancora in piedi
4T7RjNL0gEg0NXNLJO3ZOW,State Of Mind,B'shay,State Of Mind
49TKlmRo69N3i3M1Y6EaGg,Never,Satsun,Never
0KGWkZq4eaoR741kxz7nMC,F*cked Up,Nick Mayer,Mood.
7q8ZeUgVHu1KIsiFrs4rnC,Like I Do,Nick Mayer,Mood.
5oGsT3E9qZk6F7O9lfZArN,Gone Too Long,Nick Mayer,Mood.
5SDDsxC5AJEX0PA8ZHIPXZ,Let It Go,Nick Mayer,Mood.
60HSjhX8o5A1tztkTiMrYl,Clacson,Vide,Clacson
